#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	fraction repetitive (0 is good)	3' breakpoint	5' breakpoint
CD74--PIGR	4	1.0	0.787	0.142	3'-PIGR-chr1-206928521	5'-CD74-chr5-150401641
MALAT1--TSPYL1	3	1.0	0.658	0.0	3'-TSPYL1-chr6-116277914	5'-MALAT1-chr11-65499048
FTL--MALAT1	4	0.99	0.55	0.0	3'-MALAT1-chr11-65499047	5'-FTL-chr19-48965308
FTL--AL645941.2	4	0.99	0.619	0.143	3'-AL645941.2-chr6-32948617	5'-FTL-chr19-48966878
MALAT1--RPS29	4	0.975	0.562	0.136	3'-RPS29-chr14-49586369	5'-MALAT1-chr11-65499044
SNORD28B--chr6-155880000	7	1.0	0.568	0.469	SNORD28B-chr6-156252319	chr6-155880000-chr6-155903351
B2M--IGKC	3	1.122	0.667	0.259	3'-IGKC-chr2-88857164	5'-B2M-chr15-44718142
CD74--APOBEC3C	5	1.0	0.545	0.359	3'-APOBEC3C-chr22-39020347	5'-CD74-chr5-150401638
MT-CYB--MALAT1	4	0.954	0.569	0.0	3'-MALAT1-chr11-65499044	5'-MT-CYB-chrM-15885
RPS14--MALAT1	5	0.937	0.525	0.137	3'-MALAT1-chr11-65499699	5'-RPS14-chr5-150444237
B2M--HLA-A	3	0.981	0.675	0.123	3'-HLA-A-chr6-29945764	5'-B2M-chr15-44718142
MALAT1--C6orf62	3	1.0	0.65	0.157	3'-C6orf62-chr6-24719162	5'-MALAT1-chr11-65499047
MALAT1--SKP1	3	1.0	0.792	0.158	3'-SKP1-chr5-134176941	5'-MALAT1-chr11-65499044
HLA-DRB1--SRSF6	3	0.953	0.708	0.126	3'-SRSF6-chr20-43461366	5'-HLA-DRB1-chr6-32578776
SNORD28B--chr6-155810000	5	0.982	0.625	0.435	SNORD28B-chr6-156252319	chr6-155810000-chr6-155832891
TMSB10--CD74	3	1.0	0.675	0.172	3'-CD74-chr5-150401638	5'-TMSB10-chr2-84906662
FTL--SET	3	1.0	0.717	0.011	3'-SET-chr9-128695527	5'-FTL-chr19-48966879
SET--IGKC	4	0.931	0.619	0.257	3'-IGKC-chr2-88857165	5'-SET-chr9-128694754
CD74--FOXP1	3	1.0	0.667	0.21	3'-FOXP1-chr3-70958741	5'-CD74-chr5-150401638
RPS6--MT-RNR2	3	0.964	0.717	0.018	3'-MT-RNR2-chrM-3234	5'-RPS6-chr9-19376260
TMSB10--IGKC	3	1.0	0.858	0.251	3'-IGKC-chr2-88857169	5'-TMSB10-chr2-84905655
MALAT1--PRKCE	3	1.0	0.608	0.105	3'-PRKCE-chr2-45653392	5'-MALAT1-chr11-65499688
TCL1A--MALAT1	3	1.15	0.542	0.045	3'-MALAT1-chr11-65499056	5'-TCL1A-chr14-95710062
RPL13A--CD74	4	0.877	0.725	0.19	3'-CD74-chr5-150401641	5'-RPL13A-chr19-49492296
ID3--CD74	3	1.0	0.692	0.173	3'-CD74-chr5-150412751	5'-ID3-chr1-23557935
B2M--FOXP1	3	1.167	0.667	0.415	3'-FOXP1-chr3-70958742	5'-B2M-chr15-44718143
IGKC--AL645941.2	3	1.0	0.567	0.183	3'-AL645941.2-chr6-32948621	5'-IGKC-chr2-88857168
MALAT1--MT-ND5	6	1.0	0.471	0.0	3'-MT-ND5-chrM-13726	5'-MALAT1-chr11-65499073
CD74--MARCHF6	3	1.167	0.542	0.149	3'-MARCHF6-chr5-10435724	5'-CD74-chr5-150401681
B2M--MT-RNR2	3	0.919	0.633	0.136	3'-MT-RNR2-chrM-2228	5'-B2M-chr15-44718140
MALAT1--TCF4	3	1.0	0.592	0.015	3'-TCF4-chr18-55227895	5'-MALAT1-chr11-65499046
CNBP--MALAT1	3	1.0	0.658	0.217	3'-MALAT1-chr11-65499047	5'-CNBP-chr3-129169488
CD74--IGLL5	3	1.0	0.6	0.237	3'-IGLL5-chr22-22895834	5'-CD74-chr5-150401641
HLA-DMB--MALAT1	3	1.0	0.625	0.253	3'-MALAT1-chr11-65499698	5'-HLA-DMB-chr6-32934640
MT-CO1--HLA-DRA	3	0.906	0.592	0.016	3'-HLA-DRA-chr6-32439887	5'-MT-CO1-chrM-7503
CD74--MT-RNR2	3	0.989	0.658	0.115	3'-MT-RNR2-chrM-1766	5'-CD74-chr5-150401642
LINC02161--chr5-89680000	6	0.968	0.479	0.282	LINC02161-chr5-89581208	chr5-89680000-chr5-89794581
CD74--SET	3	1.0	0.642	0.312	3'-SET-chr9-128694751	5'-CD74-chr5-150412751
IGKC--FOXP1	3	0.931	0.567	0.267	3'-FOXP1-chr3-70958741	5'-IGKC-chr2-88857165
SNORD28B--AL589693.1	5	1.178	0.47	0.599	3'-AL589693.1-chr6-155912266	5'-SNORD28B-chr6-156392718
IGHM--FOXP1	3	1.0	0.617	0.177	3'-FOXP1-chr3-70958743	5'-IGHM-chr14-105854219
JTB--IGKC	3	1.0	0.7	0.373	3'-IGKC-chr2-88857166	5'-JTB-chr1-153974511
IGKV1OR2-9--IGKC	3	1.078	0.517	0.531	3'-IGKC-chr2-88857169	5'-IGKV1OR2-9-chr2-97322156
IGKC--IGHM	4	1.0	0.556	0.244	3'-IGHM-chr14-105851709	5'-IGKC-chr2-88857165
ACTG1--ACTB	3	0.994	0.525	0.0	3'-ACTB-chr7-5527301	5'-ACTG1-chr17-81509982
MALAT1--CCR7	3	1.0	0.575	0.021	3'-CCR7-chr17-40553791	5'-MALAT1-chr11-65499781
YPEL3--MALAT1	3	1.0	0.542	0.266	3'-MALAT1-chr11-65499053	5'-YPEL3-chr16-30092317
MT-CO1--MALAT1	3	0.953	0.583	0.0	3'-MALAT1-chr11-65499754	5'-MT-CO1-chrM-7512
CLNK--IGKC	4	1.0	0.606	0.445	3'-IGKC-chr2-88857165	5'-CLNK-chr4-10537729
APOBEC3C--B2M	3	1.0	0.542	0.544	3'-B2M-chr15-44711512	5'-APOBEC3C-chr22-39020341
TMSB10--FCMR	3	0.883	0.533	0.251	3'-FCMR-chr1-206904331	5'-TMSB10-chr2-84906674
ATP5F1A--IGKC	3	1.0	0.633	0.483	3'-IGKC-chr2-88857172	5'-ATP5F1A-chr18-46084153
CD74--B2M	3	1.0	0.575	0.372	3'-B2M-chr15-44711518	5'-CD74-chr5-150401641
IGHA1--IGHA2	6	0.935	0.496	0.333	3'-IGHA2-chr14-105583727	5'-IGHA1-chr14-105707124
FMO2--BX284613.2	4	1.0	0.556	0.546	3'-BX284613.2-chr1-170853814	5'-FMO2-chr1-171168105
LINC01362--chr7-76940000	5	1.0	0.575	0.792	LINC01362-chr1-83232105	chr7-76940000-chr7-76936374
CCDC32--CBX3	3	1.022	0.55	0.511	3'-CBX3-chr7-26201761	5'-CCDC32-chr15-40561986
